Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
أم اليتامى 6,يوسف_الرومي,ذكرى استشهاد الزهراء (ع) الرواية الثالثة\nداخل ماتم القرية القديم - سترة - البحرين\n\nالتسجيل و الهندسة الصوتية : جرح الحسين\nالرومي ميديا,1440 هـ,ماتم القرية القديم - سترة - البحرين\n\nالتسجيل و الهندسة الصوتية : جرح الحسين\nالرومي ميديا
أم اليتامى 1,"يوسف_الرومي, حسين_أحمد\n#صادق_التوبلاني\n\nليلة",ذكرى استشهاد الزهراء (ع) الرواية الثالثة\nداخل ماتم القرية القديم - سترة - البحرين\n\nالتسجيل الصوتي : علي الحر\nالهندسة الصوتية : علي مبارك\nالرومي ميديا,1435 هـ,ماتم القرية القديم - سترة - البحرين\n\nالتسجيل الصوتي : علي الحر\nالهندسة الصوتية : علي مبارك\nالرومي ميديا
أخت الحسين,"علي_حمادي, إبراهيم_الموت\n\nذكرى",,1430 هـ,ماتم بن خميس - السنابس\n\nشارك الرادود علي حمادي مع الرادود إبراهيم الموت قبلها بالليل و من ثم مع مهدي سهوان في إعادة ايضاً\n\nحمادي ميديا
أخت الحسين,"علي_حمادي, إبراهيم_الموت\n\nذكرى",,1430 هـ,موكب عزاء ماتم الحاج عباس - المنامة\n\nشارك الرادود علي حمادي مع الرادود إبراهيم الموت في إعادة للشريط و من ثم مع مهدي سهوان في إعادة أخيره ايضاً\n\nحمادي ميديا
رجعنا و فينا حنين اللقاء,جعفر_الدرازي,,1421 هـ,موكب عزاء كرانة - كرانه - البحرين
سر الله,صالح_الدرازي\n\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع)  \nليلة ثاني ليلة 14 جمادى الأول 1430 هـ \nمسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع)\n\nهندسة مختلفة (مقطّعه),1430 هـ,مسجد الزهراء \nالرادود : #صالح_الدرازي\n\nذكرى استشهاد فاطمة الزهراء (ع)  \nليلة ثاني ليلة 14 جمادى الأول 1430 هـ \nمسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع)\n\nهندسة مختلفة (مقطّعه)
صلت على جثمانك السماء,الشيخ_حسين_الأكرف,,1431 هـ,موكب عزاء الدراز - البحرين\n\nالهندسة الصوتية : محسن الدقاق
,"مهدي_سهوان, جاسم_مكي",ذكرى استشهاد الامام علي الرضا (ع)\nليلة 17 صفر - 1446 هـ \nموكب ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1446 هـ,موكب للرادود #جاسم_مكي \n \nذكرى استشهاد الامام علي الرضا (ع)\nليلة 17 صفر - 1446 هـ \nموكب ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
شبوا النار,شاكر_الجنبي,,1443 هـ,موكب الإمام الكاظم (ع) - الشويكة - القطيف
جواد الاتقياء,"فلاح_أحمد, حسين_آل_رضي",ذكرى استشهاد الامام محمد الجواد (ع)\nليلة 29 ذو القعدة - 1445 هـ \nموكب ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1445 هـ,موكب للرادود #حسين_آل_رضي \n \nذكرى استشهاد الامام محمد الجواد (ع)\nليلة 29 ذو القعدة - 1445 هـ \nموكب ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
