Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
محمد نور تجلى,"علي_حمادي, سيد_ناصر_الشرف\n",,1446 هـ,ماتم و البداية داخل الماتم الرادود #سيد_ناصر_الشرف\n \nشهادة الرسول الأعظم النبي محمد (ص)\nيوم 28 صفر 1446 هـ عصراً\nموكب عزاء ماتم بن خميس - السنابس \n\nالتسجيل الصوتي : حسين المقابي \n الهندسة الصوتية : محمد سلمان
,الشيخ_حسين_الأكرف,,1444 هـ,
,الشيخ_حسين_الأكرف,,1444 هـ,
,الشيخ_حسين_الأكرف,,1444 هـ,
,الشيخ_حسين_الأكرف,,1444 هـ,
,يوسف_حمادي,,1446 هـ,موكب عزاء مروزان - السنابس - البحرين\n\nالتسجيل الصوتي: حسين المقابي \nالهندسة الصوتية: محمد سلمان
,سيد_حسين_المالكي,,1446 هـ,موكب عزاء البلاد القديم -  البحرين \n\nالتسجيل و الهندسة الصوتية: علي مبارك
,علي_حمادي,,1446 هـ,موكب عزاء قرية باربار -  البحرين \n\nالتسجيل و الهندسة الصوتية: علي مبارك
دمعة جبريل,"علي_حمادي, صالح_الدرازي",,1443 هـ,ماتم الامام علي (ع) - أبو قوة - البحرين \n\nحمادي ميديا
دمعة الأحزان,علي_حمادي,,1446 هـ,موكب عزاء ماتم عذاري -  البحرين \n\nالتسجيل و الهندسة الصوتية: علي مبارك
صرختنة تبقى للأبد واحسيناة,علي_حمادي,,1440 هـ,موكب عزاء ماتم بن خميس - السنابس البحرين \n\nحمادي ميديا
أربعينك آية قدسية,علي_حمادي,,1440 هـ,موكب عزاء ماتم بن سلوم - المنامة البحرين\n\nحمادي ميديا
,يوسف_الرومي\n\n,,1432 هـ,موكب عزاء قرية بوري - البحرين\n\nالرومي ميديا
,يوسف_الرومي\n\n,,1432 هـ,موكب عزاء سترة الخارجية - سترة\n\nالرومي ميديا
للمسير عودة,علي_حمادي,,1429 هـ,ماتم جبلة حبشي - البحرين\n\nحمادي ميديا
,"يوسف_حمادي, محمد_غلوم, محمد_جميل\n",,1446 هـ,موكب كانت داخل الماتم وقبل الخروج، الرادود: #محمد_جميل\n \nيوم 25 محرم 1446 هـ\nشهادة زين العابدين الامام السجاد (ع)\nموكب عزاء ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي: حسين المقابي \nالهندسة الصوتية: محمد سلمان
,"مهدي_سهوان, ميرزا_العرادي\n",,1446 هـ,موكب عزاء كرباباد - البحرين\n\nالتسجيل الصوتي: حسين المقابي \nالهندسة الصوتية: محمد سلمان
موكب الأباء,علي_حمادي,,1444 هـ,موكب الأباء ]\nالرادود : #علي_حمادي \n \nليلة الاربعين  ليلة 20 صفر 1444 هـ\nموكب عزاء ماتم بن سلوم - المنامة - البحرين\n\nحمادي ميديا
سيدة المحشر,صالح_الدرازي,ذكرى استشهاد فاطمة الزهراء ع 1426 هـ\nماتم بن زبر - المنامة - البحرين,1426 هـ,ماتم بن زبر - المنامة - البحرين
عودة الأحزان,"جعفر_الدرازي, صالح_الدرازي",,1424 هـ,ماتم جبلة حبشي - البحرين\n\nالشريط مقطّع بمقاطع  . .
حسنيون حسينيون,"جعفر_الدرازي, جعفر_القشعمي",,1422 هـ,مسجد السيدة زينب ع
حزن يتجدد,علي_حمادي,,1434 هـ,موكب ماتم بن خميس - السنابس - البحرين\n\nحمادي ميديا\nالتسجيل الصوتي: خادم أهل البيت
حزن يتجدد,علي_حمادي,,1434 هـ,موكب المقشع - البحرين\n\nحمادي ميديا
خطيئة الزمن,صالح_الدرازي,,1434 هـ,حسينية الولاية - الكويت
ربيع البقيع الممزق,"صالح_الدرازي, صالح_الشيخ",,1421 هـ,موكب ماتم بن سلوم - المنامة - البحرين
طفلة صبر,"سيد_حسين_المالكي, سيد_حسين_الموسوي",وفاة السيدة رقية سلام الله عليها \nليلة 5 صفر - 1433  هـ\nمأتم الإثني عشرية - بني جمرة,1433  هـ,
مآسينا,الشيخ_حسين_الأكرف,,1426 هـ,
قنسرين,الشيخ_حسين_الأكرف\nإصدار,,1430 هـ,
شاطئ الإيثار,الشيخ_حسين_الأكرف\nشهر,,1424 هـ,
أميرة الشام,صالح_الدرازي,وفاة السيدة رقية سلام الله عليها\nليلة 4 صفر - 1426 هـ\nمأتم الإثني عشرية - بني جمرة,1426 هـ,
يتيمة الحسين,صالح_الدرازي,وفاة السيدة رقية سلام الله عليها \nليلة 4 صفر - 1425 هـ\nمأتم الإثني عشرية - بني جمرة,1425 هـ,
الجرح يرميك,سيد_هاني_الوداعي\nوفاة,وفاة السيدة رقية سلام الله عليها  1434 هـ\nالحسينية الاثني عشرية - بني جمرة\n\nالتسجيل الصوتي : علي حمد و حسن حمد,1434 هـ,حسينية الاثني عشرية - بني جمرة\n\nالتسجيل الصوتي : علي حمد و حسن حمد
حب أهل البيت يجري في عروقي,"الشيخ_حسين_الأكرف, مهدي_سهوان",,1416 هـ,موكب ماتم بن سلوم - المنامة - البحرين
قرآنك عاشوراء,جعفر_الدرازي,,1423 هـ,حسينية الحيدرية - المحرق\n\nتسجيل : سيد حيدر
أيها القيد تحطم,"جعفر_الدرازي, عبدالشهيد_الثور\nووقفات, صالح_الدرازي",,1422 هـ,موكب عزاء مأتم بن سلوم - المنامة\n\nتسجيل : محمد سلمان
علمنا الطف رسالة,"الشيخ_حسين_الأكرف, مهدي_سهوان",,1415 هـ,موكب قرية عذاري - البحرين
رتلناك علي ترتيل القرآن,"جعفر_الدرازي, فوزي_الدرازي\nووقفات, جعفر_القشعمي",,1420 هـ,موكب عزاء مأتم الحاج عباس - المنامة
إفراق المحب,صالح_الدرازي\nليلة,,1434 هـ,
أيها القيد تكسر,صالح_الدرازي\nليلة,,1416 هـ,موكب عزاء ماتم بن سلوم - المنامة
قناديل الدموع,صالح_الدرازي\nليلة,,1423 هـ,حسينية الحيدرية- دولة الكويت
يبن الشهيد,علي_حمادي,,1446 هـ,موكب عزاء ماتم الحاج عباس - المنامة \n\nحمادي ميديا
,مهدي_سهوان,,1446 هـ,
كربلاء النصر,علي_حمادي,,1446 هـ,موكب عزاء الحياك  - المحرق - البحرين\n\nحمادي ميديا
,مهدي_سهوان,,1446 هـ,ماتم كرزكان للرجال - كرزكان - البحرين\n\nالتسجيل الصوتي: حسين المقابي \nالهندسة الصوتية: محمد سلمان
مالك النهر,علي_حمادي,,1446 هـ,موكب عزاء النعيم  - البحرين\n\nحمادي ميديا
,مهدي_سهوان,,1446 هـ,حسينية الأمير - الجنبية - البحرين\n\nالتسجيل الصوتي: حسين المقابي \nالهندسة الصوتية: محمد سلمان
إنا مع الحسين,علي_حمادي,,1446 هـ,موكب عزاء ماتم بن سلوم - المنامة - البحرين\n\nحمادي ميديا
طلبناك,صالح_الدرازي\nيوم,,1428 هـ,ماتم الحاج منصور بن نايم - الحياك المحرق
شيعة السجاد,صالح_الدرازي\nيوم,,1432 هـ,موكب عزاء الدراز - البحرين\n\nتسجيل : محمد سلمان
,الشيخ_حسين_الأكرف,,1445 هـ,
,الشيخ_حسين_الأكرف,,1445 هـ,
,الشيخ_حسين_الأكرف,,1445 هـ,
,الشيخ_حسين_الأكرف,,1445 هـ,
,الشيخ_حسين_الأكرف,,1445 هـ,
دم عاشوراء,"الشيخ_حسين_الأكرف, عبد_الشهيد_الثور\nو, مهدي_سهوان",,1416 هـ,
أبداً ياحسين,الشيخ_حسين_الأكرف,,1423 هـ,حسينية البلوش - الكويت
حياتنا حسين,علي_حمادي,,1446 هـ,ماتم بن خميس - السنابس - البحرين\n\nحمادي ميديا
نبقى على العهد,علي_حمادي,,1446 هـ,ماتم سار الكبير - سار - البحرين\n\nحمادي ميديا
مع الحسين أبدا,علي_حمادي,,1446 هـ,ماتم السنابس - السنابس - البحرين\n\nحمادي ميديا
جراح العسكري,صالح_الدرازي,ذكرى استشهاد الامام الحسن العسكري(ع)\nموكب عزاء ماتم الحاج عباس - المنامة,1432 هـ,موكب عزاء ماتم الحاج عباس - المنامة
,الشيخ_حسين_الأكرف,,1446 هـ,
زينب الصابرة 1,"مهدي_سهوان, سيد_ابراهيم_الستري\n#يوسف_الرومي, سيد_شرف_الستراوي",استشهاد السيدة زينب (ع)  1434 هـ\nماتم حمد - واديان - سترة - البحرين,1434 هـ,ماتم حمد - واديان - سترة - البحرين
سليب الرداء,الشيخ_حسين_الأكرف,,1425 هـ,حسينية البلوش - الكويت
سلام يا أبا الشيب الخضيب,الشيخ_حسين_الأكرف,,1427 هـ,موكب عزاء الدراز - قرية الدراز
عليك الأرض تبكي ياحسين ألما,الشيخ_حسين_الأكرف,,1426 هـ,موكب عزاء مأتم بن سلوم - المنامة
صوت تفجر,صالح_الدرازي,,,
صوت تفجر,صالح_الدرازي,,1416 هـ,موكب عزاء مأتم بن سلوم - المنامة
من تمر زفة شباب,"علي_حمادي, جعفر_الدرازي",,1423 هـ,موكب عزاء مأتم الحاج عباس - المنامة
إني أنا العباس,"الشيخ_حسين_الأكرف, سيد_مصطفى_الموسوي",,1430هـ,موكب النعيم الموحد - قرية النعيم
خذ بكفيك لواء الحمد عباس,الشيخ_حسين_الأكرف,,1424 هـ,موكب عزاء مأتم حجي عباس - المنامة
عودي بالغضب الهادر والثورة,صالح_الدرازي,,1424 هـ,موكب عزاء النعيم - قرية النعيم
بأمان الله يبن أمي,صالح_الدرازي,,1427 هـ,موكب عزاء مأتم بن سلوم - المنامة
وصدقت النحور,صالح_الدرازي,,1426 هـ,مسجد السيدة زينب (ع) - مدينة الزهراء
عين محمد,الشيخ_حسين_الأكرف,,1426 هـ,حسينية البلوش - الكويت
قد بكت عين محمد,الشيخ_حسين_الأكرف,,1426 هـ,موكب عزاء مأتم حجي عباس - المنامة
و كأني بك حائر,الشيخ_حسين_الأكرف,,1428 هـ,
سفير الحسين,الشيخ_حسين_الأكرف,,1425 هـ,
يا كربلاء العطاء,الشيخ_حسين_الأكرف,,1424 هـ,
عاهدنا بالدم,صالح_الدرازي,,1429 هـ,
أذنت للعزاء,"حسين_عبد_الرسول, مهدي_سهوان\nليلة",,1423 هـ,موكب عزاء مأتم بن سلوم - المنامة
عفير الجبين,"سيد_شرف_الستراوي, يوسف_الرومي",,1435 هـ,موكب عزاء ماتم الحاج عباس - المنامة\n\nالتسجيل الصوتي : محمد سلمان \nالهندسة الصوتية : سيد حيدر
كذب القائلون أنكم زائلون,"الشيخ_حسين_الأكرف, عبدالجبار_الدرازي\nليلة",,1423 هـ,موكب عزاء مأتم بن سلوم - المنامة \n\nتسجيل : محمد سلمان
قاسماه يا صغيري,"الشيخ_حسين_الأكرف, صالح_الدرازي\nوقفات, سيد_ابراهيم_الستري",,1422 هـ,موكب عزاء مأتم بن سلوم - المنامة\n\nتسجيل : محسن الدقاق
رغم الجراح,علي_حمادي,,1433 هـ,
شمس العلا,"علي_حمادي, أحمد_العويناتي\n\nاصدار",,1436 هـ,
بكاء جبريل,صالح_الدرازي,,1433 هـ,حسينية البلوش - دولة الكويت
قاسميون الهوى,جعفر_الدرازي,,1433 هـ,ماتم جدعلي - البحرين
عهداً يا عاشوراء,"صالح_الدرازي, جعفر_الدرازي, الشيخ_حسين_الأكرف",,1422 هـ,
عهداً يا عاشوراء,صالح_الدرازي,,1421 هـ,موكب عزاء ماتم بن سلوم - المنامة
لن تموت كربلاء,علي_حمادي,,1440 هـ,موكب عزاء ماتم بن سلوم - المنامة
في حسين لا تلومونا,علي_حمادي,,1445 هـ,موكب عزاء ماتم بن سلوم - المنامة
أمنا الزهراء,صالح_الدرازي,استشهاد فاطمة الزهراء (ع) - عام 1434 هـ\nمركز الولاية الاسلامي -  دولة الكويت \n\nالهندسة الصوتية بإشراف : محمد جراغ,1434 هـ,
الوداع الأخير,"الشيخ_حسين_الأكرف, صالح_الدرازي",,1423 هـ,
منك يا تاج العلا,جعفر_الدرازي,,1412 هـ,موكب عزاء شباب حجي عباس
قوم الـ زينب,علي_حمادي,,1445 هـ,موكب عزاء الحياك - المحرق
أقدم يا قمر العاشر,"صالح_الدرازي\n, علي_حمادي",,1422 هـ,موكب عزاء ماتم بن سلوم - المنامة
قد رسمنا الدرب من دم علي,الشيخ_حسين_الأكرف,,1415 هـ,موكب عزاء مأتم بن سلوم - المنامة
أختاه زينب,"صالح_الدرازي, جعفر_الدرازي, عبد_الأمير_البلادي",,1421 هـ,موكب عزاء ماتم بن سلوم - المنامة\n\nجميع التراكات بالترتيب
الصابرة 1,يوسف_الرومي\n\nوفاة,وفاة ام البنين (ع)  - 1434 هـ  \nحسينية الامام الباقر - هيئة موكب بوري\n\nالهندسة الصوتية : محمد سلمان,1434 هـ,حسينية الامام الباقر - هيئة موكب بوري\n\nالهندسة الصوتية : محمد سلمان
أرواحنا حيدرية,علي_حمادي,ذكرى استشهاد أمير المؤمنين الامام علي(ع) \nليلة 20 رمضان 1445 هـ\nموكب ماتم بن سلوم - المنامة\n\nالهندسة الصوتية : علي النينون,1445 هـ,موكب ماتم بن سلوم - المنامة\n\nالهندسة الصوتية : علي النينون
أرواحنا حيدرية,علي_حمادي,ذكرى استشهاد أمير المؤمنين الامام علي(ع) \nليلة 20 رمضان 1445 هـ\nموكب ماتم بن سلوم - المنامة\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1445 هـ,موكب ماتم بن سلوم - المنامة\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
,يوسف_الرومي\n,ذكرى استشهاد أمير المؤمنين الامام علي(ع) \nليلة 21 رمضان 1445 هـ\nموكب عزاء واديان - سترة\n\nالهندسة الصوتية : علي مبارك \n\nأول مشاركة شارك بكتابتها الشيخ بشار العالي بعد غياب لسنوات عن كتابة قصائد المواكب,1445 هـ,موكب عزاء واديان - سترة\n\nالهندسة الصوتية : علي مبارك \n\nأول مشاركة شارك بكتابتها الشيخ بشار العالي بعد غياب لسنوات عن كتابة قصائد المواكب
,يوسف_الرومي\n,ذكرى استشهاد أمير المؤمنين الامام علي(ع) \nليلة 21 رمضان 1445 هـ\nموكب عزاء واديان - سترة\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان \n\nأول مشاركة شارك بكتابتها الشيخ بشار العالي بعد غياب لسنوات عن كتابة قصائد المواكب,1445 هـ,موكب عزاء واديان - سترة\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان \n\nأول مشاركة شارك بكتابتها الشيخ بشار العالي بعد غياب لسنوات عن كتابة قصائد المواكب
لبيك اللهم لبيك,"سيد_شرف_الستراوي, يوسف_الرومي",,1434 هـ,
زينبيات كربلائيات,"علي_حمادي, جعفر_سهوان",استشهاد السيدة زينب (ع) \nليلة 16 رجب 1433 هـ \nماتم السنابس - البحرين,1433 هـ,ماتم السنابس - البحرين
ثورة الدم,علي_حمادي,استشهاد السيدة زينب (ع) \nليلة 15 رجب 1433 هـ \nموكب قرية بوري - البحرين,1433 هـ,موكب قرية بوري - البحرين
قدوتي فاطمة,علي_حمادي,استشهاد فاطمة الزهراء (ع) \nليلة 15 جمادة الاول  1434 هـ \nماتم بن شبيب - السهلة\n\nالتسجيل الصوتي : حسن مرهون\nالهندسة الصوتية : محسن الدقاق,1434 هـ,ماتم بن شبيب - السهلة\n\nالتسجيل الصوتي : حسن مرهون\nالهندسة الصوتية : محسن الدقاق
سر النصر,مهدي_سهوان,,1427 هـ,
شيعة السجاد,صالح_الدرازي\nيوم,,1432 هـ,موكب عزاء الدراز - البحرين
وداع مكة,الشيخ_حسين_الأكرف,,1427 هـ,
,علي_حمادي,,1445 هـ,موكب ماتم بن خميس - السنابس\n\nالتسجيل و الهندسة الصوتية : علي مبارك
,"مهدي_سهوان, عبد_الشهيد_الثور, ياسر_ياسين_نصر\n\nليلة",استشهاد أمير المؤمنين الإمام علي (ع)\nموكب ماتم بن خميس - السنابس\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية  : محمد سلمان,1445 هـ,موكب ماتم بن خميس - السنابس\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية  : محمد سلمان
قد رفعنا لواء الثار,علي_حمادي,,1444 هـ,موكب ماتم بن خميس - السنابس
منحة السماء,"علي_حمادي, عبد_الأمير_البلادي",استشهاد فاطمة الزهراء (ع) 1426 هـ\nالحسينية الحيدرية - الكويت\n\nالهندسة الصوتية : عبدالله مبارك,1426 هـ,حسينية الحيدرية - الكويت\n\nالهندسة الصوتية : عبدالله مبارك
صفحات,علي_حمادي,,1430 هـ,
,"أيمن_المقابي, سيد_حسين_المالكي\nليلة",ذكرى استشهاد الامام علي(ع)\nماتم المقشع - موكب قرية المقشع\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1445 هـ,ماتم المقشع - موكب قرية المقشع\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
متى يا ابن طه,الشيخ_حسين_الأكرف\nالشعراء,استشهاد الإمام الحسن العسكري(ع) \nموكب صدد المركزي (12),1427 هـ,موكب صدد المركزي (12)
النور العظيم,سيد_هاني_الوداعي\nاستشهاد,استشهاد الإمام علي الهادي ( ع ) 1428 هـ\nحسينية الولاية - الكويت\n\nالهندسةالصوتية: عبدالله مبارك,1428 هـ,حسينية الولاية - الكويت\n\nالهندسةالصوتية: عبدالله مبارك
مع الخالدين,مهدي_سهوان,,1445 هـ,ماتم القائم (ع) - أسكان عالي\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية  : محمد سلمان
على خط الولاية,مهدي_سهوان,,1445 هـ,ماتم الإمام علي (ع) - أبو قوة\nتحت فعالية [ فقهاء العصر ]\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية  : محمد سلمان
زين العباد,الشيخ_حسين_الأكرف,ذكرى استشهاد الإمام زين العابدين (ع) - 1425 هـ\nجامع الإمام الحسين (ع) - الكويت,1425 هـ,
الراية العسكرية,"علي_حمادي, عبد_الأمير_البلادي",استشهاد الامام الحسن العسكري (ع) \n ليلة 9 ربيع الأول 1436 هـ\nموكب صدد المركزي (20)\nقرية صدد - البحرين\n \nالهندسة الصوتية : محمود سعيد,1436 هـ,موكب صدد المركزي (20)\nقرية صدد - البحرين\n \nالهندسة الصوتية : محمود سعيد
الأمان الأمان يا إمام الزمان,علي_حمادي,استشهاد السيدة زينب سلام الله عليها\nموكب عزاء النعيم - قرية النعيم,1421 هـ,موكب عزاء النعيم - قرية النعيم
السلام على الكاظم,سيد_هاني_الوداعي\nاستشهاد,استشهاد الإمام موسى الكاظم ( ع )\nليلة ثاني 26 رجب 1429 هـ 2008 م\nمسجد فاطمة الزهراء - مدينة الزهراء 4,1429 هـ,مسجد فاطمة الزهراء - مدينة الزهراء 4
السلام على الكاظم,سيد_هاني_الوداعي\nاستشهاد,استشهاد الإمام موسى الكاظم ( ع )\nليلة 25 رجب 1429 هـ 2008 م\nموكب قرية كرزكان - البحرين,1429 هـ,موكب قرية كرزكان - البحرين
كلنا يا حسين,صالح_الدرازي,,1431 هـ,موكب عزاء مأتم بن سلوم - المنامة
عاصمة الصبر,الشيخ_حسين_الأكرف,وفاة السيدة أم البنين (ع) 1429 هـ\nمأتم السنابس - البحرين \n\nالهندسة الصوتية : عبدالله مبارك,1429 هـ,
عاصمة الصبر,الشيخ_حسين_الأكرف,وفاة السيدة أم البنين (ع) 1429 هـ\nمأتم السنابس - البحرين \n\nالهندسة الصوتية : سيد حيدر,1429 هـ,
عاصمة الصبر,الشيخ_حسين_الأكرف,وفاة السيدة أم البنين (ع) 1429 هـ\nمأتم السنابس - البحرين \n\nالهندسة الصوتية : علي ضيف,1429 هـ,
راحل مسموم,علي_حمادي,,1435 هـ,ماتم الامام الرضا (ع) - المالكية\n\nالهندسة الصوتية: خدمة اهل البيت ع\n محمد سلمان
الأسى والشجن,علي_حمادي,,1435 هـ,موكب عزاء مركوبان - سترة
مع الهداة مدى الحياة,مهدي_سهوان\nوفاة,وفاة أم المؤمنين السيدة خديجة وذكرى وفاة مؤمن قريش ابو طالب 1427 هـ\nهيئة مؤمن الإسلامية\nماتم الامام المنتظر (ع) - الدير - البحرين,1427 هـ,ماتم الامام المنتظر (ع) - الدير - البحرين
إنهم مسؤولون,الشيخ_حسين_الأكرف,,1430 هـ,
إنهم مسؤولون,الشيخ_حسين_الأكرف,,1430 هـ,
إنهم مسؤولون,الشيخ_حسين_الأكرف,,1430 هـ,
عظم الله لك الأجر محمد,صالح_الدرازي\nليلة,,1424 هـ,موكب عزاء مأتم بن سلوم - المنامة
الحسين يوحدنا 1,"سيد_علوي_أبو_غايب, أبو_غايب\n#الشيخ_حسين_الأكرف, عبد_الأمير_البلادي",,1430 هـ,موكب البحرين الموحد \nماتم سار الكبير - سار - البحرين
من مثلك ناصر ؟,يوسف_الرومي,,1431 هـ,موكب عزاء قرية كرزكان
يا صوت العدالة,علي_حمادي\nليلة,,1437 هـ,ماتم الحاج حسن العالي - قرية عالي\nهيئة عالي\n\nالهندسة الصوتية: محمود سعيد
مصائب زينب,علي_حمادي\nليلة,ذكرى وفاة السيدة زينب عليها السلام\nالإعادة في ماتم الامام علي (ع) - أبو قوة,1424 هـ,ماتم الامام علي (ع) - أبو قوة
مصائب زينب,علي_حمادي\nليلة,ذكرى وفاة السيدة زينب عليها السلام\nموكب عزاء بني جمرة\n\nأعاد الرادود علي حمادي هذا الشريط في الليلة الثانية في ماتم الامام علي ع - أبو قوة,1424 هـ,موكب عزاء بني جمرة\n\nأعاد الرادود علي حمادي هذا الشريط في الليلة الثانية في ماتم الامام علي ع - أبو قوة
أم أبو فاضل حزينة,علي_حمادي\nليلة,ذكرى وفاة السيدة أم البنين سلام الله عليها\nماتم بن خميس - السنابس,1424 هـ,ماتم بن خميس - السنابس
هلالك من نظرتة,علي_حمادي\nليلة,,1437 هـ,مسجد الامام علي (ع) - بني جمرة\n\nالتسجيل: علي مبارك\nالهندسة الصوتية : محمد سلمان
حرمة الإسلام,الشيخ_حسين_الأكرف,,1428 هـ,موكب عزاء مأتم بن سلوم - المنامة
إنهم مسؤولون,الشيخ_حسين_الأكرف,,1430 هـ,موكب صدد المركزي ( 15 ) \n قرية صدد - البحرين
روح الحسين,الشيخ_حسين_الأكرف,,1425 هـ,
رزء الرحيل,"صالح_الدرازي, أحمد_قربان",استشهاد الامام الحسن العسكري (ع) \nعام 2014 م - 1435 هـ\nمركز الرسالة الإسلامي - الكويت,1435 هـ,
مهدوي العذاب,الشيخ_حسين_الأكرف\nذكرى,,1426 هـ,موكب عزاء صدد المركزي ( 11 )\n قرية صدد - البحرين
من هموم لهموم,الشيخ_حسين_الأكرف\nذكرى,,1426 هـ,موكب عزاء مأتم سنابس الشرقية - البحرين
,سيد_هاني_الوداعي\nاستشهاد,استشهاد الإمام جعفر الصادق ( ع )\nيوم 25 شوال 1445 هـ عصراً\nموكب ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي\nالهندسة الصوتية : محمد سلمان,1445 هـ,موكب ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي\nالهندسة الصوتية : محمد سلمان
إنا صمود كالحسين,علي_حمادي\nليلة,,1433 هـ,موكب عزاء قرية كرباباد - البحرين\n\nالهندسة الصوتية : محسن الدقاق
لبيك يا محمد,الشيخ_حسين_الأكرف,,1427 هـ,مسجد الإمام الحسين (ع) - الكويت
احفظ اللهم زوار الحسين,"صالح_الدرازي\n, سيد_حسين_المالكي",,1431 هـ,موكب عزاء ماتم بن سلوم - المنامة\n\nالهندسة الصوتية : سيد محمد الشهركاني\n\nأعاد الرادود صالح الدرازي هذه المشاركة وحيداً في الليلة الثانية في ماتم جبلة حبشي و كان الشريط بأسم [ رجوع الراس ]
دم المنحر,الشيخ_حسين_الأكرف,,1425 هـ,حسينية الولاية - الكويت\n\nالهندسة الصوتية : عبدالله مبارك
قصدناك,الشيخ_حسين_الأكرف,,1426 هـ,حسينية الولاية - الكويت\n\nالهندسة الصوتية : محسن الدقاق
ألم العاشر,"صالح_الدرازي\n, علي_حمادي",,1440 هـ,موكب عزاء النعيم - البحرين\n\nالهندسة الصوتية : شريف المرهون
زينب حديث الدهر,الشيخ_حسين_الأكرف,,1430 هـ,موكب عزاء سترة - القرية عصراً
ونبقى مع الهادي,الشيخ_حسين_الأكرف,,1429هـ,موكب عزاء مأتم الحاج عباس - المنامة
يم قبور الأحبة,يوسف_الرومي\nالاربعين,,1432 هـ,ماتم جبلة حبشي - البحرين\n\nالهندسة الصوتية : محسن الدقاق
علمينا كربلاء,الشيخ_حسين_الأكرف,,1422 هـ,
دموع الصادق,صالح_الدرازي\n\nالهندسة,,1427  هـ,
خاتم الانبياء,"علي_حمادي, عبد_الأمير_البلادي",,1435 هـ,
سلمية,سيد_هاني_الوداعي\nاستشهاد,استشهاد الإمام الحسن ( ع )\nليلة 8 صفر 1433 هـ\nالمالكية\n\nالهندسة الصوتية : محسن الدقاق,1433 هـ,
,حسين_عبد_الرسول,وفاة السيدة زينب عليها السلام\nليلة 16 رجب 1423 هـ\nمأتم الإمام علي(ع) - أبو قوة,1423 هـ,
دم عاشوراء,"صالح_الدرازي, جعفر_الدرازي",ذكرى استشهاد السيدة زينب (ع)\nليلة 16 رجب 1417 هـ 1996م\n مأتم أبو قوة,1417 هـ,
الا ياقلعة الاصرار يازينب,صالح_الدرازي\nذكرى,ذكرى استشهاد السيدة زينب (ع)\nيوم 15 رجب 1417هـ 1996م\n مأتم بن خميس,1417هـ,
صيحة جبريل,"علي_حمادي, عبد_الأمير_البلادي\nاستشهاد",استشهاد الأمام علي (ع) - 1435 هـ\nماتم الامام علي (ع) - ابو قوة\n\nالهندسة الصوتية : محسن الدقاق,1435 هـ,ماتم الامام علي (ع) - ابو قوة\n\nالهندسة الصوتية : محسن الدقاق
نبقى وياك حتى القيامة,سيد_محمد_ال_عدنان\nذكرى,,1430 هـ,
ردينا يخويه حسين,سيد_حسين_المالكي\nالاربعين,,1432 هـ,
عادت الذكرى,سيد_حسين_المالكي\nوفاة,وفاة أولاد مسلم (ع) 26 صفر 1432 هـ\nالبلاد,1432 هـ,
كلما ليل مضى,"علي_حمادي, نزار_الدرازي",استشهاد الامام علي (ع) - ليلة الوفاة\nموكب عزاء النعيم - قرية النعيم,1420 هـ,موكب عزاء النعيم - قرية النعيم
أعطيناك فاطمة,صالح_الدرازي\nليلة,,1426 هـ,مسجد فاطمة الزهراء ع - مدينة الزهراء ع
ما تركناه,علي_حمادي\nليلة,استشهاد الامام علي (ع) - ليلة الضربة\nحسينية الحاج احمد بن خميس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1445 هـ,حسينية الحاج احمد بن خميس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
دليل الحيارى,صالح_الدرازي\nيوم,,1431 هـ,موكب عزاء سترة - القرية
يا ليلة القدر الحزينة,"صالح_الدرازي\nبمشاركة, جعفر_الدرازي",استشهاد الامام علي عليه السلام \nليلة 21 رمضان 1418 هـ\nموكب مأتم بن سلوم - المنامة,1418 هـ,موكب مأتم بن سلوم - المنامة
بفؤادي لا فتى إلا علي,الشيخ_حسين_الأكرف\nليلة,,1423 هـ,موكب الدراز الموحد
حليلة حيدر,الشيخ_حسين_الأكرف\nوفاة,وفاة أم البنين(ع) 1426 هـ,1426 هـ,
حرمة الأسلام,الشيخ_حسين_الأكرف\nاستشهاد,استشهاد الإمام علي الهادي(ع) 1428 هـ - 2007 م\nالجفر - الإحساء,1428 هـ,
حزن عينيك,الشيخ_حسين_الأكرف\n2007,,,
